ip	port	asn_desc
149.2.82.180	999	TELECABLE DOMINICANO, S.A.
150.241.70.126	1080	PLAY2GO-NET
150.241.70.126	1081	PLAY2GO-NET
150.241.71.36	1080	PLAY2GO-NET
150.241.71.85	1080	PLAY2GO-NET
152.169.106.145	80	Telecom Argentina S.A.
153.216.185.210	8080	OCN NTT Communications Corporation
154.236.168.162	1981	ETISALAT-MISR
154.236.179.226	1975	ETISALAT-MISR
154.236.189.10	1974	ETISALAT-MISR
154.236.191.44	1981	ETISALAT-MISR
154.65.39.8	80	Tigo
156.230.176.245	8080	MYREPUBLIC-AS-ID PT. Eka Mas Republik
156.230.187.234	8081	MYREPUBLIC-AS-ID PT. Eka Mas Republik
156.230.189.126	8080	MYREPUBLIC-AS-ID PT. Eka Mas Republik
158.140.169.86	80	MYREPUBLIC-AS-ID PT. Eka Mas Republik
158.140.181.116	8080	MYREPUBLIC-AS-ID PT. Eka Mas Republik
159.192.138.170	8080	CAT-IDC-4BYTENET-AS-AP CAT TELECOM Public Company Ltd,CAT
159.192.139.178	8080	CAT-IDC-4BYTENET-AS-AP CAT TELECOM Public Company Ltd,CAT
159.192.139.42	5678	CAT-IDC-4BYTENET-AS-AP CAT TELECOM Public Company Ltd,CAT
159.192.97.129	5678	CAT-IDC-4BYTENET-AS-AP CAT TELECOM Public Company Ltd,CAT
160.22.17.4	9988	VNPT-AS-VN VNPT Corp
160.22.200.60	69	IDNIC-MAINWIFI-AS-ID PT Karangmukti Global Netmedia
160.22.200.70	69	IDNIC-MAINWIFI-AS-ID PT Karangmukti Global Netmedia
160.248.7.177	80	INFOSPHERE NTT PC Communications, Inc.
161.248.190.83	8080	GEMSTARCABLETV-AS-AP GEMSTAR CABLE TV
161.49.100.131	1080	CONVERGE-AS Converge ICT Solutions Inc.
161.49.116.131	1337	CONVERGE-AS Converge ICT Solutions Inc.
161.49.116.131	1338	CONVERGE-AS Converge ICT Solutions Inc.
161.49.215.28	10101	CONVERGE-AS Converge ICT Solutions Inc.
161.49.219.114	8082	CONVERGE-AS Converge ICT Solutions Inc.
161.49.219.73	8082	CONVERGE-AS Converge ICT Solutions Inc.
161.49.89.217	8081	CONVERGE-AS Converge ICT Solutions Inc.
161.49.91.13	1337	CONVERGE-AS Converge ICT Solutions Inc.
163.5.53.34	8082	BORUSANTELEKOM-AS
167.250.141.73	8080	MEGANET SERVICOS DE COMUNICACAO E MULTIMIDIA LTDA
168.196.124.146	999	COMCAST-SRL
168.196.126.226	999	COMCAST-SRL
171.227.36.108	4013	VIETEL-AS-AP Viettel Group
171.238.158.78	8080	VIETEL-AS-AP Viettel Group
171.242.14.54	1081	VIETEL-AS-AP Viettel Group
171.244.68.28	5678	VIETEL-AS-AP Viettel Group
171.247.84.223	1080	VIETEL-AS-AP Viettel Group
171.247.84.223	1081	VIETEL-AS-AP Viettel Group
171.248.214.198	1081	VIETEL-AS-AP Viettel Group
171.249.163.170	1080	VIETEL-AS-AP Viettel Group
171.250.220.198	1081	VIETEL-AS-AP Viettel Group
171.252.192.212	5000	VIETEL-AS-AP Viettel Group
173.219.112.85	8080	SUDDENLINK-COMMUNICATIONS
